URL,Material,TotalArea,RoomsNumber,FloorNumberCoeff,Latitude,Longitude,Distance,ApartmentAge,Price
https://blagovist.ua/object/201362124,1,145,3,0.42105263157894735,50.5115776,30.5085657,6908.064248473399,16,230000
https://blagovist.ua/object/419992886,2,79,3,0.84,50.5039366,30.4251767,9209.118928057364,1,65000
https://blagovist.ua/object/419862348,1,49,1,0.6,50.4069,30.50796,4953.248748254861,1,60000
https://blagovist.ua/object/251682088,1,165,3,0.5111111111111111,50.4386139,30.5385911,1663.917232959166,6,281000
https://blagovist.ua/object/251683753,1,47,2,1.0,50.440691,30.617599,6741.372724907466,62,49800
https://blagovist.ua/object/420035075,1,84,4,0.1111111111111111,50.444445,30.4476025,5455.792377894227,25,60000
https://blagovist.ua/object/109744,1,51.7,1,0.5882352941176471,50.4475824,30.4869074,2642.4419884251174,1,75000
https://blagovist.ua/object/285239808,1,90,3,0.8888888888888888,50.5091823,30.4491843,8433.158606082005,11,135000
https://blagovist.ua/object/421024069,1,96,3,0.5555555555555556,50.402429,30.676049,12046.764164790247,34,63000
https://blagovist.ua/object/251682886,1,109.1,3,1.0,50.4493658,30.4769604,3333.6660344025877,1,216000
https://blagovist.ua/object/117484329,1,177,2,0.8181818181818182,50.4445961,30.542411,1459.171454941889,11,800000
https://blagovist.ua/object/419764140,1,128,4,0.125,50.4291329,30.5457147,2815.235968452387,11,400000
https://blagovist.ua/object/419795103,1,74,2,0.391304347826087,50.4248548,30.5231196,2825.73026923009,1,164000
https://blagovist.ua/object/419938930,3,54,2,0.875,50.3707464,30.4546482,10119.220286897124,6,83000
https://blagovist.ua/object/201354991,2,92,3,1.0,50.3834704,30.4636636,8571.92677537622,26,120000
https://blagovist.ua/object/33658389,1,120,3,0.8666666666666667,50.427327,30.547265,3043.610866167253,6,550000
https://blagovist.ua/object/33660477,1,203,4,0.5833333333333334,50.4523985,30.4893798,2461.7020248417375,16,285000
https://blagovist.ua/object/33660897,1,480,9,0.9166666666666666,50.4204542,30.5284065,3330.339350137729,6,1536000
https://blagovist.ua/object/419864415,7,132,4,0.23076923076923078,50.4060956,30.552806,5324.519115703198,1,145000
